,Year,Rainfall (mm),Yield (hg/ha),Remarks
0,1970,631.8,30197,Normal
1,1971,268.5,20698,Normal
2,1972,237,24388,Defict
3,1973,651.8,29976,Excess
4,1974,194.4,24745,Defict
5,1975,708.9,28703,Excess
6,1976,645.1,21741,Excess
7,1977,389,28516,Excess
8,1978,386,28037,Excess
9,1979,537.2,24954,Excess
10,1980,250.2,30455,Defict
11,1981,279.4,28220,Normal
12,1982,454.2,31617,Excess
13,1983,517,31130,Excess
14,1984,220.5,31582,Defict
15,1985,186.6,30787,Defict
16,1986,175,35496,Defict
17,1987,165,40168,Defict
18,1988,318.7,40229,Normal
19,1989,304,39905,Normal
20,1990,821,42301,Excess
21,1991,232.5,41096,Defict
22,1992,526,41292,Excess
23,1993,232,6315,Defict
24,1994,396,10809,Excess
25,1995,344,9939,Normal
26,1996,521.1,8097,Excess
27,1997,572.1,7999,Excess
28,1998,577,8924,Excess
29,1999,357,13090,Normal
30,2000,273,8016,Normal
31,2001,527,8847,Excess
32,2002,91,10711,Excess
33,2003,359,9194,Excess
34,2004,182,11104,Defict
35,2005,283,10739,Normal
36,2006,210,13582,Defict
37,2007,205,15057,Defict
38,2008,476,15068,Excess
39,2009,156,12742,Defict
40,2010,511,11038,Excess
41,2011,314,15975,Normal
42,2012,480,14838,Excess
43,2013,522,17405,Excess
44,2014,304.8,17639,Normal
45,2015,300,19100,Normal
46,2016,197,7995,Defict
47,2017,191,8000,Defict
48,2018,220,8000,Defict
49,2019,213,8876,Defict
50,2020,487,10000,Excess
51,2021,503,11855,Excess
